"Izdatki gospodinjstev za koncno potro?njo po vrsti proizvodov in namenu, Slovenija, letno",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
TRANSAKCIJE,MERITVE,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Hrana in brezalkoholne pijace,Tekoce cene (mio EUR),1133.3,1272.0,1435.4,1570.1,1700.9,1814.5,2029.3,2179.0,2338.9,2366.2,2377.4,2412.4,2642.4,2936.7,2996.6,3045.9,3238.8,3307.8,3236.4,3242.5,3285.4,3375.4,3422.2,3508.4,...
Hrana in brezalkoholne pijace,Tekoce cene (% od izdatkov gospodinjstev za koncno potro?njo po domacem konceptu),17.8,17.3,17.4,17.5,16.9,16.6,16.8,16.4,16.2,15.4,14.6,14.3,14.2,14.5,14.5,14.3,14.9,15.2,15.1,15.0,14.9,14.8,14.4,14.0,-
Hrana in brezalkoholne pijace,Stalne cene predhodnega leta (mio EUR),...,1160.4,1325.8,1451.2,1631.4,1715.8,1852.7,2029.9,2237.5,2355.4,2397.6,2357.9,2451.4,2675.8,2988.6,3019.1,3105.4,3184.4,3114.5,3255.1,3261.9,3353.4,3347.1,3427.1,...
Hrana in brezalkoholne pijace,"Stalne cene, referencno leto 2010 (mio EUR)",2404.6,2462.2,2566.4,2594.8,2696.1,2719.7,2776.9,2777.8,2852.4,2872.4,2910.5,2886.7,2933.4,2970.6,3023.1,3045.9,3105.4,3053.2,2874.8,2891.4,2908.7,2968.9,2944.0,2948.2,...
Hrana in brezalkoholne pijace,Letna sprememba obsega (%),...,2.4,4.2,1.1,3.9,0.9,2.1,0.0,2.7,0.7,1.3,-0.8,1.6,1.3,1.8,0.8,2.0,-1.7,-5.8,0.6,0.6,2.1,-0.8,0.1,...
..Hrana,Tekoce cene (mio EUR),1025.4,1155.3,1296.7,1423.6,1537.3,1645.9,1850.7,1984.1,2125.1,2140.1,2142.1,2171.0,2366.2,2643.0,2701.8,2745.3,2902.0,2978.6,2939.2,2943.0,2985.9,3071.8,3102.0,3163.9,...
..Hrana,Tekoce cene (% od izdatkov gospodinjstev za koncno potro?njo po domacem konceptu),16.1,15.7,15.7,15.9,15.3,15.1,15.3,14.9,14.7,13.9,13.2,12.9,12.7,13.1,13.1,12.9,13.3,13.7,13.7,13.6,13.6,13.5,13.1,12.6,-
..Hrana,Stalne cene predhodnega leta (mio EUR),...,1050.9,1193.2,1315.0,1479.0,1555.7,1680.7,1847.3,2034.2,2132.1,2158.0,2124.8,2188.1,2393.6,2699.6,2720.0,2779.2,2870.2,2820.2,2949.5,2965.4,3053.2,3029.6,3087.0,...
..Hrana,"Stalne cene, referencno leto 2010 (mio EUR)",2212.6,2267.5,2341.8,2374.8,2467.2,2496.9,2549.7,2545.1,2609.3,2617.9,2639.7,2618.4,2639.1,2669.8,2726.9,2745.3,2779.2,2748.8,2602.6,2611.6,2631.5,2690.8,2653.8,2641.1,...
..Hrana,Letna sprememba obsega (%),...,2.5,3.3,1.4,3.9,1.2,2.1,-0.2,2.5,0.3,0.8,-0.8,0.8,1.2,2.1,0.7,1.2,-1.1,-5.3,0.3,0.8,2.3,-1.4,-0.5,...
