"The largest exporters and importers by section of activity and values of their trade in goods (in 1000 EUR), Slovenia, annually"

"ECONOMIC GROUP","ACTIVITY","GROUP OF ENTERPRISES","2008 Exports","2008 Imports","2009 Exports","2009 Imports","2010 Exports","2010 Imports","2011 Exports","2011 Imports","2012 Exports","2012 Imports","2013 Exports","2013 Imports","2014 Exports","2014 Imports","2015 Exports","2015 Imports","2016 Exports","2016 Imports","2017 Exports","2017 Imports","2018 Exports","2018 Imports"
"Economic groups - TOTAL","Activity - TOTAL","Enterprises - TOTAL",19808198,23045703,16017671,17115280,18243130,19881099,20813997,22452441,21060685,22077660,21548704,22114150,22935649,22580164,23940020,23304943,24970786,24111658,28265070,27606242,30857716,30706005
"Economic groups - TOTAL","Activity - TOTAL","Top 5",3496585,3307908,3158570,2337780,3270538,2753148,3391734,3037419,3444016,3111513,3364372,2637079,3506419,2890253,3296492,2653925,3336256,2717947,4134736,3391438,4788953,4214103
"Economic groups - TOTAL","Activity - TOTAL","Top 100",11656452,11021612,9537161,7963508,11134455,9769074,12619283,11010993,12658132,10968040,12747365,11106215,13255088,10875597,13383600,10789895,13631715,10730897,15499634,12491136,16985469,14141908
"Economic groups - TOTAL","Activity - TOTAL","Top 1000",18248484,18832300,14785147,13849378,16914051,16480704,19211745,18683659,19279059,18439993,19608838,18533330,20726036,18576322,21423250,19001700,22149756,19436289,25043918,22280473,27228062,24789431
"Economic groups - TOTAL","A AGRICULTURE, FORESTRY AND FISHING","Enterprises - TOTAL",95584,61616,79379,53127,71345,75981,80306,56434,85895,55786,97868,53108,137349,57450,146983,55870,158889,46897,148565,58028,154956,59156
"Economic groups - TOTAL","A AGRICULTURE, FORESTRY AND FISHING","Top 5",49295,23259,43358,14746,29382,35988,31661,18571,36011,18443,44464,15349,67415,17710,66284,17224,79936,14187,87677,13381,91153,15405
"Economic groups - TOTAL","A AGRICULTURE, FORESTRY AND FISHING","Top 100",94649,56038,78115,47652,70037,70520,77994,50116,83353,49404,95321,46572,133738,49702,143133,47037,154222,40028,144569,48587,151590,49275
"Economic groups - TOTAL","A AGRICULTURE, FORESTRY AND FISHING","Top 1000",95584,61616,79379,53127,71345,75981,80306,56434,85895,55786,97868,53108,137349,57450,146983,55870,158889,46897,148565,58028,154956,59156
"Economic groups - TOTAL","B_D_E  MINING AND QUARRYING, ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY, WATER SUPPLY, SEWERAGE, WASTE MANAGEMENT AND REMEDIATION ACTIVITIES","Enterprises - TOTAL",232004,250805,370800,382729,587166,573030,888113,794529,824302,861200,754743,859249,660413,453911,623550,463940,569464,479565,669006,583040,717017,653976
"Economic groups - TOTAL","B_D_E  MINING AND QUARRYING, ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY, WATER SUPPLY, SEWERAGE, WASTE MANAGEMENT AND REMEDIATION ACTIVITIES","Top 5",166398,148631,296804,266374,437849,345414,596138,514951,569949,552937,524395,597113,452403,261494,413797,284562,386377,271931,441618,344306,523531,398518
"Economic groups - TOTAL","B_D_E  MINING AND QUARRYING, ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY, WATER SUPPLY, SEWERAGE, WASTE MANAGEMENT AND REMEDIATION ACTIVITIES","Top 100",231963,248946,370786,380742,587037,569611,887831,787831,823788,854302,754117,853862,659522,447472,622691,458252,568613,474426,667875,576232,715762,646262
"Economic groups - TOTAL","B_D_E  MINING AND QUARRYING, ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY, WATER SUPPLY, SEWERAGE, WASTE MANAGEMENT AND REMEDIATION ACTIVITIES","Top 1000",232004,250805,370800,382729,587166,573030,888113,794529,824302,861200,754743,859249,660413,453911,623550,463940,569464,479565,669006,583040,717017,653976
"Economic groups - TOTAL","C MANUFACTURING","Enterprises - TOTAL",14655126,9009481,11632504,6560161,13292686,8078776,14441745,8650337,14243508,8248889,14133548,8451066,14885071,8658794,15316993,9169001,15820688,9453189,17883835,10938870,19403312,12313930
"Economic groups - TOTAL","C MANUFACTURING","Top 5",3496585,1865123,3158570,1588775,3270538,1865411,3315242,1734247,3118200,1589657,2948662,1656823,3195225,1791819,3079848,2006350,3066454,2067718,3720806,2523211,4339451,3181967
"Economic groups - TOTAL","C MANUFACTURING","Top 100",10211571,5900631,8313374,4435277,9668712,5668732,10365401,5906800,10190145,5626534,10020073,5856283,10464168,5911601,10651320,6278278,10818968,6411251,12342142,7489429,13348462,8586329
"Economic groups - TOTAL","C MANUFACTURING","Top 1000",14385859,8707619,11433854,6346850,13085140,7849215,14213972,8396699,14010095,7998838,13882037,8203473,14607110,8368188,14997467,8859363,15460867,9118710,17461477,10553397,18926598,11884838
"Economic groups - TOTAL","G WHOLESALE AND RETAIL TRADE, REPAIR OF MOTOR VEHICLES AND MOTORCYCLES","Enterprises - TOTAL",2797649,11089887,2308060,8292635,2611737,9136721,3012528,10129677,3330677,10147050,3714427,9696791,4213334,10267735,4407914,10402598,4494415,10889735,5080608,12243102,5737249,13220242
